CMTE_ID|CMTE_NM|CMTE_TP|CMTE_DSGN|CMTE_FILING_FREQ|TTL_RECEIPTS|TRANS_FROM_AFF|INDV_CONTRIB|OTHER_POL_CMTE_CONTRIB|CAND_CONTRIB|CAND_LOAN|TTL_LOANS_RECEIVED|TTL_DISB|TRANF_TO_AFF|INDV_REFUNDS|OTHER_POL_CMTE_REFUNDS|CAND_LOAN_REPAY|LOAN_REPAY|COH_BOP|COH_COP|DEBTS_OWED_BY|NONFED_TRANS_RECEIVED|CONTRIB_TO_OTHER_CMTE|IND_EXP|PTY_COORD_EXP|NONFED_SHARE_EXP|CVG_END_DT
C00002972|THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE)|Q|B|M|1852375.06|0|1826179.99|0|0|0|0|1844450.75|287815.25|0|0|0|0|1087396.95|1095321.26|0|0|1122500|0|0|0|09/30/2019
C00003061|NORTH DAKOTA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|Q|U|Q|0|0|0|0|0|0|0|300|0|0|0|0|0|6356.16|6056.16|0|0|300|0|0|0|06/30/2019
C00003111|MAINE REPUBLICAN PARTY|Y|U|M|221640.85|44381.83|127057.72|12650|0|0|0|337601.57|1713.51|74.99|0|0|0|166078.62|50117.9|35057.73|34500|0|0|18521.06|134050.32|09/30/2019
C00003152|NORTH CAROLINA MEDICAL SOCIETY FEDERAL POLITICAL EDUCATION AND ACTION COMMITTEE|Q|U|Q|910|0|910|0|0|0|0|0|0|0|0|0|0|11871.01|12781.01|0|0|0|0|0|0|06/30/2019
C00003160|NORTH AMERICA'S BUILDING TRADES UNIONS POLITICAL EDUCATIONAL FUND|Q|U|M|222612.97|0|213907.74|8700|0|0|0|27910.33|0|0|0|0|0|393615.51|588318.15|0|0|24000|0|0|0|09/30/2019
C00003194|CALIFORNIA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE - FEDERAL|Q|U|Q|0|0|0|0|0|0|0|1618.26|0|0|0|0|0|1757.29|139.03|972.7|0|0|0|0|0|06/30/2019
C00003210|UTAH MEDICAL POLITICAL ACTION COMMITTEE|Q|U|Q|0|0|0|0|0|0|0|20190|0|0|0|0|0|29538.43|9348.43|0|0|9400|0|0|0|09/30/2019
C00003251|NEA FUND FOR CHILDREN AND PUBLIC EDUCATION|Q|B|M|1959637.85|0|1959637.85|0|0|0|0|508920.88|0|0|0|0|0|1515137.6|2965854.57|0|0|477850|0|0|0|09/30/2019
C00003418|REPUBLICAN NATIONAL COMMITTEE|Y|U|M|168746107.14|31351407.4|103631536.73|200308.5|0|0|0|133083902.02|7512170.07|78761.5|18900|0|0|23501561.43|59163766.55|0|0|10000|0|48|0|09/30/2019
C00003558|NATIONAL COMMITTEE FOR AN EFFECTIVE CONGRESS|Q|U|Q|58854.52|0|58854.52|0|0|0|0|43008.31|0|0|0|0|0|73077.44|88923.65|0|0|0|0|0|0|06/30/2019
C00003590|UNITED STEELWORKERS POLITICAL ACTION FUND|Q|B|M|1139836.26|0|1137136.26|0|0|0|0|302349.18|0|14563.01|0|0|0|2295538.72|3133025.8|0|0|71000|0|0|0|09/30/2019
C00003632|INT'L UNION OF BRICKLAYERS AND ALLIED CRAFTWORKERS PAC|Q|B|M|707771.84|0|707771.84|0|0|0|0|505595.74|0|0|0|0|0|442606.66|644782.76|0|0|404500|0|0|0|09/30/2019
C00003764|NATIONAL RESTAURANT ASSOCIATION PAC (RESTAURANT PAC)|Q|B|M|303204.85|0|283704.85|19500|0|0|0|304527.52|0|200|0|0|0|213950.49|212627.82|0|0|274000|0|0|0|09/30/2019
C00003806|AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE|Q|B|Q|18767.96|0|13767.96|5000|0|0|0|13768.59|0|0|0|0|0|48617.63|53617|0|0|12800|0|0|0|06/30/2019
C00003855|NATIONAL CONFECTIONERS ASSOCIATION OF THE UNITED STATES, INC. POLITICAL ACTION COMMITTEE (CANDY PAC)|Q|B|M|330189.51|0|320189.51|10000|0|0|0|287012.5|0|3000|0|0|0|243449.57|286626.58|0|0|274500|0|0|0|10/31/2019
C00003863|DISTRICT NO. 1-PCD, MARINE ENGINEERS' BENEFICIAL ASSOCIATION - RETIREES' GROUP FUND (MEBA-|Q|B|M|2000.35|0|2008.35|0|0|0|0|26.23|0|0|0|0|0|50259.17|52233.29|0|0|0|0|0|0|09/30/2019
C00003897|6TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE OF VIRGINIA|Y|U|Q||||||||||||||||||||||
C00003970|IOWA MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|Q|U|Q|12427.38|0|12425|0|0|0|0|5000|0|0|0|0|0|15154.49|22581.87|0|0|0|0|0|0|06/30/2019
C00003988|NEBRASKA DEMOCRATIC PARTY|Y|U|M|388356.53|129897.4|128200.4|0|0|0|0|321806.47|0|548|0|0|0|2931.8|69481.86|103659.93|117621.69|0|0|0|137736.32|09/30/2019
C00004036|SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)|Q|B|M|22346641.72|3704072.17|18637564.55|0|0|0|0|7713756.74|0|0|0|0|0|14167984.54|28800869.52|814901.62|0|474900|24988.54|0|0|09/30/2019
C00004101|NATIONAL UTILITY CONTRACTORS ASSOCIATION LEGISLATIVE INFORMATION AND ACTION COMMITTEE|Q|B|Q|14059.87|0|13350|0|0|0|0|4190.11|0|0|0|0|0|73645.03|83514.79|0|0|4000|0|0|0|06/30/2019
C00004275|AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)|Q|B|M|1387127.44|1089003|262124.44|36000|0|0|0|1613000|0|1000|6000|0|0|2407930.7|2182058.14|0|0|1606000|0|0|0|09/30/2019
C00004325|SEAFARERS POLITICAL ACTIVITY DONATION - SEAFARERS INTERNATIONAL UNION OF NA-AGLIW|Q|U|M|477070.05|0|476553.3|0|0|0|0|473153.96|0|388|0|0|0|131925.78|135841.87|0|0|253500|0|0|0|09/30/2019
C00004440|TEAMSTERS LOCAL 745 DRIVE|Q|U|Q|38405.02|0|117|38275.48|0|0|0|12732.52|0|0|0|0|0|271317.14|296989.64|0|0|0|0|0|0|06/30/2019
C00004473|NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC|Q|B|M|262436.05|0|262436.05|0|0|0|0|207465.65|0|0|0|0|0|84611.12|139581.52|0|0|206500|0|0|0|09/30/2019
C00004606|KANSAS REPUBLICAN PARTY|Y|U|M|70341.38|9156.98|25497.92|12623.86|0|0|0|80781.51|0|16000.18|0|0|0|19205.54|8765.41|7861.57|20862.62|35|0|95.12|20664.97|09/30/2019
C00004812|MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC)|Q|B|M|920582.44|0|823513.31|93500|0|0|0|1006681.8|0|2067.04|0|0|0|593438.81|507339.45|0|0|997500|0|0|0|09/30/2019
C00004861|UNITE HERE TIP CAMPAIGN COMMITTEE|Q|B|M|658068.25|0|653068.25|0|0|0|0|573537.08|0|0|0|0|0|840514.47|925045.64|0|0|520000|0|0|0|09/30/2019
C00004879|AMERICAN BUS ASSOCIATION POLITICAL ACTION COMMITTEE|Q|B|M|70507.06|0|70507.06|0|0|0|0|31500|0|0|0|0|0|232909.71|271916.77|0|0|31500|0|0|0|09/30/2019
C00004911|ALABAMA MEDICAL PAC CONNECTED WITH THE MEDICAL ASSOCIATION OF THE STATE OF ALABAMA|Q|U|Q|7428.17|0|7249.98|0|0|0|0|50|0|50|0|0|0|434755.23|442133.4|0|0|0|0|0|0|06/30/2019
C00004929|PENNSYLVANIA MEDICAL SOCIETY POLITICAL ACTION COMMITTEE FEDERAL|Q|U|Q|0|0|0|0|0|0|0|0|0|0|0|0|0|829.38|829.38|0|0|0|0|0|0|06/30/2019
C00004952|ELECTRIC COOPERATIVES OF MISSISSIPPI ACTION COMMITTEE FOR RURAL ELECTRIFICATION|Q|U|Q|57173.26|57173.26|0|0|0|0|0|3210|0|0|0|0|0|191403.04|245366.3|0|0|3000|0|0|0|06/30/2019
C00004994|PROFESSIONAL INSURANCE AGENTS POLITICAL ACTION COMMITTEE (PIAPAC)|Q|B|M|60669.3|0|60662.5|0|0|0|0|46742.57|0|0|0|0|0|92829.48|106756.21|0|0|45000|0|0|0|09/30/2019
C00005132|SOUTH DAKOTA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (SDSMAPAC)|Q|U|Q|11825|0|11525|0|0|0|0|2511.28|0|0|0|0|0|112921.61|122235.33|0|0|0|0|0|0|06/30/2019
C00005157|INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND|Q|B|M|236988.27|0|236988.27|0|0|0|0|162342.61|0|906.39|0|0|0|146186.81|220832.47|0|0|133000|0|0|0|09/30/2019
C00005173|STATE DEMOCRATIC EXECUTIVE COMMITTEE OF ALABAMA|Y|U|M|72394.66|34256.68|3995|0|0|0|0|166144.05|0|0|0|0|0|129095.35|35344.27|34889.62|23145.16|0|0|0|40116.11|09/30/2019
C00005249|NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMM|Q|B|M|683438.21|0|673438.21|10000|0|0|0|537728.47|0|60|0|0|0|339046.92|484756.66|0|0|418500|0|0|0|09/30/2019
C00005462|10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE|Y|U|M|100|0|100|0|0|0|0|135|0|0|0|0|0|123.64|88.64|0|0|0|0|0|0|09/30/2019
C00005561|DEMOCRATIC EXECUTIVE COMMITTEE OF FLORIDA|Y|U|M|3374341.04|781908.18|793562.14|65188.16|0|0|0|3576346.45|75000|22480.54|2|0|0|272119.13|70113.72|27409.5|1581128.43|10223.21|0|0|2067453.03|09/30/2019
C00005660|AMERICAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS POLITICAL ACTION COMMITTEE|Q|B|M|129995.78|0|114665|0|0|0|0|80442.7|0|250|0|0|0|615341.06|664894.14|0|0|77000|0|0|0|09/30/2019
C00005785|WYOMING REPUBLICAN PARTY, INC.|Y|U|M|63162.39|0|40738.41|2180|0|0|0|98386.51|0|0|0|0|0|72559.97|37335.85|0|20243.98|0|0|0|48732.24|09/30/2019
C00005801|6TH CONGRESSIONAL DISTRICT REPUBLICAN FEDERAL COMMITTEE|Y|U|Q|1127|372|720|0|0|0|0|9344|350|0|0|0|0|8788.89|571.89|0|0|0|0|0|372|09/30/2019
C00005926|ILLINOIS REPUBLICAN PARTY|Y|U|M|473586.17|150672.23|223332.59|40096.85|0|0|0|379574.11|0|1350|0|0|0|87452.47|181464.53|0|53449.73|0|0|0|111796.09|09/30/2019
C00006080|AMERICAN HEALTH CARE ASSOCIATION POLITICAL ACTION COMMITTEE|Q|B|M|491029.61|0|485029.61|5000|0|0|0|481279.7|0|5250|0|0|0|38766.37|48516.28|0|0|457500|0|0|0|09/30/2019
C00006486|INDIANA REPUBLICAN STATE COMMITTEE, INC.|Y|U|M|1573670.02|546145.13|192942.92|43709.5|0|0|0|1419301.01|0|0|0|0|0|656982.56|811351.57|0|790791.66|0|0|0|883037.13|09/30/2019
C00007070|TEXAS INSTRUMENTS INCORPORATED POLITICAL ACTION COMMITTEE (TI PAC)|Q|B|M|94321.94|0|94321.94|0|0|0|0|59500|0|0|0|0|0|141101.52|175923.46|0|0|45000|0|0|0|09/30/2019
C00007450|AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE|Q|B|M|196012.4|0|89012.4|107000|0|0|0|147167.71|0|0|0|0|0|265432.95|314277.64|0|0|147000|0|0|0|09/30/2019
C00007542|INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS POLITICAL ACTION LEAGUE|Q|B|M|1575647.12|0|1570596.45|0|0|0|0|1195870.98|0|0|0|0|0|527982.91|907759.05|0|0|941000|0|0|0|09/30/2019
C00007658|DEMOCRATIC PARTY OF SOUTH CAROLINA|Y|U|M|1262990.35|141279.53|449475.1|101403.89|0|0|0|1018280.9|0|11575|0|0|0|28.16|244767.61|19327|35405.97|0|0|0|354642.52|09/30/2019
C00007666|PREBLE COUNTY DEMOCRATIC CENTRAL COMMITTEE|X|U|T|0|0|0|0|0|0|0|15|0|0|0|0|0|39|24|0|0|0|0|0|0|09/30/2019
C00007849|SPEAK UP FOR RURAL ELECTRIFICATION (SURE)|Q|U|Q|16825.02|0|135|16690.02|0|0|0|7517.7|0|0|0|0|0|70971.41|80278.73|0|0|7500|0|0|0|06/30/2019
C00007880|CULAC THE PAC OF CREDIT UNION NATIONAL ASSOCIATION|Q|B|M|1957686.04|433153|1475187.25|0|0|0|0|1517737.36|0|1200|0|0|0|743686.74|1183635.42|0|0|1496500|0|0|0|09/30/2019
C00007898|OFFICE AND PROFESSIONAL EMPLOYEES INTERNATIONAL UNION (OPEIU) JB MOSS VOICE OF THE ELECTORATE (VOTE)|Q|U|Q|178670.76|0|178506.72|0|0|0|0|37227.06|0|-194.87|-700|0|0|807259.55|948703.25|0|0|500|0|0|0|06/30/2019
C00007922|LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC|Q|B|M|3131059.52|817222.53|2308836.99|0|0|0|0|2474048.22|114.03|41.67|0|0|0|3829119.07|4486130.37|0|0|2468700|0|0|0|09/30/2019
C00007948|WEYERHAEUSER COMPANY POLITICAL ACTION COMMITTEE|Q|B|M|176437.56|0|176437.56|0|0|0|0|120746.37|0|0|0|0|0|182216.95|237908.14|0|0|118500|0|0|0|09/30/2019
C00008078|OHIO D.R.I.V.E. (DEMOCRATIC  REPUBLICAN INDEPENDENT VOTER EDUCATION  - TEAMSTERS JOINT COUNCIL  #41)|Q|U|Q|25405.22|14513.55|9990|0|0|0|0|13239.23|0|0|0|0|0|14118.25|26284.24|0|0|0|0|0|0|09/30/2019
C00008086|MONTANA REPUBLICAN STATE CENTRAL COMMITTEE|Y|U|M|232906.53|34151.53|153066.81|5500|0|0|0|287909.7|0|895|0|0|0|147375.18|92372.01|10581.14|39923.49|0|0|0|73034.29|10/31/2019
C00008110|DEMOCRATIC PARTY OF THE SECOND CONGRESSIONAL DISTRICT OF WISCONSIN *|Y|U|Q|825|0|825|0|0|0|0|1541.01|0|0|0|0|0|1357|641.05|0|0|0|0|0|0|06/30/2019
C00008151|FIRST HORIZON NATIONAL CORPORATION FEDERAL PAC|Q|U|Q|3882.65|0|3882.65|0|0|0|0|0|0|0|0|0|0|14473.06|18355.71|0|0|0|0|0|0|06/30/2019
C00008169|ACTION COMMITTEE FOR RURAL ELECTRIFICATION/MISSOURI COOPERATIVES (FKA MISSOURI ACRE)|Q|U|Q|31569.44|30851.77|0|0|0|0|0|1639.09|0|0|0|0|0|81005.51|110935.86|0|0|0|0|0|0|09/30/2019
C00008227|ARIZONA REPUBLICAN PARTY|Y|U|M|877098.77|380820.43|336070.87|830.55|0|0|0|947286.16|170126.38|5635|5000|0|0|415863.28|345675.89|0|143832.61|0|0|0|214408.07|09/30/2019
C00008268|TRANSPORT WORKERS UNION POLITICAL CONTRIBUTIONS COMMITTEE|Q|B|M|992246.25|0|992246.25|0|0|0|0|314198.17|0|0|0|0|0|319916.48|997964.56|0|0|208000|0|0|0|09/30/2019
C00008409|INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL #302 VOLUNTARY POLITICAL FUND|Q|U|M|131229.75|0|131229.75|0|0|0|0|82907.1|0|0|0|0|0|738302.92|786625.57|0|0|60000|0|0|0|09/30/2019
C00008474|CITIGROUP INC. POLITICAL ACTION COMMITTEE - FEDERAL (CITIGROUP PAC-FEDERAL)|Q|B|M|489389.47|0|489389.47|0|0|0|0|504409.9|0|1859.9|0|0|0|322084.31|307063.88|0|0|481000|0|0|0|09/30/2019
C00008664|MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL|Y|U|M|430493.41|3000|212154.88|18978.49|0|0|0|452709.38|0|0|0|0|0|64989.13|42773.16|0|158500|0|0|0|233636.94|09/30/2019
C00008748|SEMPRA ENERGY EMPLOYEES POLITICAL ACTION COMMITTEE- FEDERAL|Q|B|Q|201716.51|0|201640.83|0|0|0|0|163422.94|0|4313.14|0|0|0|168734.15|207027.72|0|0|158500|0|0|0|06/30/2019
C00008755|REPUBLICAN PARTY SIXTH CONGRESSIONAL DISTRICT OF WISCONSIN|Y|U|Q|17534.8|0|8337|0|0|0|0|17155.78|0|0|0|0|0|2309.8|2688.82|0|0|2500|0|0|0|06/30/2019
C00008839|AMERICAN PODIATRIC MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|Q|U|M|271975.1|0|271975.1|0|0|0|0|28000|0|0|0|0|0|326211.56|570186.66|0|0|28000|0|0|0|09/30/2019
C00008896|OPEIU LOCAL 153 "VOTE" (VOICE OF THE ELECTORATE) COMMITTEE|Q|U|Q|4589.55|0|4589.55|0|0|0|0|5084|5000|0|0|0|0|8226.61|7732.16|0|0|0|0|0|0|06/30/2019
C00009282|NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND|Q|B|M|593387.66|0|587887.66|0|0|0|0|532462.99|0|0|0|0|0|686518.05|747442.72|0|0|476500|0|0|0|09/30/2019
C00009357|THE RECORDING INDUSTRY ASSOCIATION OF AMERICA, INC. POLITICAL ACTION COMMITTEE|Q|B|Q|25980|0|25980|0|0|0|0|23500|0|0|0|0|0|7923.12|10403.12|0|0|23500|0|0|0|09/30/2019
C00009423|LAND O'LAKES, INC., PAC|Q|B|Q|107172.78|0|107153.47|0|0|0|0|174722.97|0|0|0|0|0|80383.05|12832.86|0|0|174500|0|0|0|06/30/2019
C00009639|SUNTRUST BANKS INC. MAIN STREET BANKERS POLITICAL ACTION COMMITTEE|Q|B|M|61299.36|61299.36|0|0|0|0|0|235550|0|0|0|0|0|513236.39|338985.75|0|0|92000|0|0|0|09/30/2019
C00009704|CONSERVATIVE VICTORY FUND|Q|U|Q|29072.17|0|29071.07|0|0|0|0|26609.09|0|0|0|0|0|12267.06|14730.14|0|0|5500|0|0|0|06/30/2019
C00009795|GREATER WASHINGTON BOARD OF TRADE FEDERAL PAC|Q|U|Q|0|0|0|0|0|0|0|180|0|0|0|0|0|16182.66|16002.66|0|0|0|0|0|0|06/30/2019
C00009845|MONTGOMERY COUNTY DEMOCRATIC CENTRAL COMMITTEE|Y|U|Q|49895.31|2260|22520.27|260|0|0|0|34289.22|0|0|0|0|0|2464.51|18070.6|0|24754.7|0|0|0|26554.48|06/30/2019
C00009936|AMERICAN FEDERATION OF GOVT. EMPL. POLITICAL ACTION COMMITTEE|Q|B|M|570053.78|0|570053.78|0|0|0|0|432854.2|0|2301.01|0|0|0|101082.43|238282.01|0|0|393200|0|0|0|09/30/2019
C00009985|NATIONAL ASSOCIATION OF BROADCASTERS POLITICAL ACTION COMMITTEE (NABPAC)|Q|B|M|1089846.84|0|1087346.84|0|0|0|0|1044755.22|0|1550|0|0|0|265267.22|310358.84|0|0|1043205.22|0|0|0|09/30/2019
C00010033|MONTANA DEMOCRATIC PARTY|Y|U|M|645068.64|130565.81|226292.62|81751.13|0|0|0|734098.42|27709.61|410|0|0|0|196189.13|107159.35|0|190109.53|0|0|0|302796.49|09/30/2019
C00010082|NCTA - THE INTERNET AND TELEVISION ASSOCIATION POLITICAL ACTION COMMITTEE (NCTA PAC)|Q|B|Q|712895.89|0|707895.89|5000|0|0|0|438600|0|0|0|0|0|1312479.83|1586775.72|0|0|432500|0|0|0|06/30/2019
