CAND_ID|CAND_NAME|CAND_ICI|PTY_CD|CAND_PTY_AFFILIATION|TTL_RECEIPTS|TRANS_FROM_AUTH|TTL_DISB|TRANS_TO_AUTH|COH_BOP|COH_COP|CAND_CONTRIB|CAND_LOANS|OTHER_LOANS|CAND_LOAN_REPAY|OTHER_LOAN_REPAY|DEBTS_OWED_BY|TTL_INDIV_CONTRIB|CAND_OFFICE_ST|CAND_OFFICE_DISTRICT|SPEC_ELECTION|PRIM_ELECTION|RUN_ELECTION|GEN_ELECTION|GEN_ELECTION_PRECENT|OTHER_POL_CMTE_CONTRIB|POL_PTY_CONTRIB|CVG_END_DT|INDIV_REFUNDS|CMTE_REFUNDS
H8AR03074|MAHONY, JOSH|C|1|DEM|2660|0|2846.36|0|186.36|0|2660|0|0|0|0|0|0|AR|03||||||0|0|04/30/2019|0|0
H0AR03055|WOMACK, STEVE|I|2|REP|298029.98|0|184658.66|0|1159218.79|1272590.11|0|0|0|0|0|0|123448|AR|03||||||173581.3|0|09/30/2019|0|0
H2AR03143|HENDREN, JAMES PAUL|C|2|REP|.27|0|0|0|93.06|93.33|0|0|.27|0|0|450142.42|0|AR|03||||||0|0|09/30/2019|0|0
H0AR02198|REDMOND, RAYMOND DALLAS JR.|C|1|DEM|20|0|20|0|0|0|20|0|0|0|0|0|0|AR|04||||||0|0|06/30/2019|0|0
H0AR04087|HANSON, WILLIAM MR.|C|1|DEM|17010|0|6372.02|0|0|10637.98|0|0|14500|0|0|14500|2510|AR|04||||||0|0|09/30/2019|0|0
H2AR04133|HURST, Q. BYRUM JR|O|1|DEM|0|0|0|0|20.61|20.61|0|0|0|0|0|8982.22|0|AR|04||||||0|0|09/30/2019|0|0
H8AR04130|SHAMEL, HAYDEN CATHERINE|C|1|DEM|1190.33|0|2103.33|0|2197.18|1284.18|1055.95|0|0|0|0|0|0|AR|04||||||0|0|09/30/2019|0|0
H2AR04083|COTTON, THOMAS|C|2|REP|3083306.78|1114888.66|965498.54|0|2099351.54|4217159.78|0|0|0|0|0|98044.98|1301526.49|AR|04||||||644350|0|09/30/2019|43600|5000
H4AR04048|WESTERMAN, BRUCE|I|2|REP|427298.41|4167|278036.9|2000|671609.55|820871.06|0|0|0|0|0|0|153241|AR|04||||||264450|0|09/30/2019|0|0
H8AR04148|CALDWELL, RANDY|C|2|REP|0|0|644.64|0|307|108|0|0|0|0|0|0|0|AR|04||||||0|0|06/14/2019|0|0
H4AS00036|AMATA, AUMUA|I|2|REP|16726.15|0|6392.49|0|916.98|11250.64|0|0|0|0|0|0|16326.15|AS|00||||||0|400|09/30/2019|0|0
H0AZ01358|PUTZOVA, EVA|C|1|DEM|86556.75|0|75291.9|0|0|11347.19|524.44|0|0|0|0|0|86032.31|AZ|01||||||0|0|09/30/2019|0|0
H6AZ01199|O'HALLERAN, TOM|I|1|DEM|865547.72|0|297399.79|0|5931.95|574079.88|0|0|0|0|0|0|413740.6|AZ|01||||||436445.42|853.51|09/30/2019|592|0
H0AZ01366|TAYLOR, CHRIS|C|2|REP|24562.83|0|20361.55|0|0|4201.28|0|0|0|0|0|297.57|24562.83|AZ|01||||||0|0|09/30/2019|0|0
H2AZ01172|RENZI, RICHARD G.|I|2|REP|0|0|0|0|1244.79|1244.79|0|0|0|0|0|456157.37|0|AZ|01||||||0|0|09/30/2019|0|0
H2AZ09035|ROGERS, WENDY|C|2|REP|49935|0|51637.07|0|1702.07|0|0|0|0|3000|0|0|44935|AZ|01||||||5000|0|12/31/2019|1150|0
H4AZ01145|KIEHNE, GARY|C|2|REP|0|0|0|0|0|0|0|0|0|0|0|250000|0|AZ|01||||||0|0|09/30/2019|0|0
H6AZ01173|BENNETT, KEN|O|2|REP|0|0|0|0|3112.16|3112.16|0|0|0|0|0|70000|0|AZ|01||||||0|0|06/30/2019|0|0
H8AZ01211|CAVANAUGH, KEVIN|C|2|REP|0|0|0|0|0|0|0|0|0|0|0|380.73|0|AZ|01||||||0|0|03/31/2019|0|0
H8AZ01229|SMITH, STEVE|C|2|REP|0|0|137.5|0|186.37|48.87|0|0|0|0|0|0|0|AZ|01||||||0|0|09/30/2019|0|0
H8AZ01237|SHEDD, TIFFANY|C|2|REP|186564.39|0|95261.4|0|3433.46|94736.45|4401.33|66140.37|0|0|0|295140.37|103992.69|AZ|01||||||12000|0|09/30/2019|0|0
H0AZ02240|KOHLER, NEVIN|C|1|DEM|0|0|0|0|0|0|0|0|0|0|0|0|0|AZ|02||||||0|0|09/09/2019|0|0
H8AZ01104|KIRKPATRICK, ANN|I|1|DEM|812552.61|1107.63|384037.34|0|72191.25|500706.52|0|0|0|0|0|0|445800.18|AZ|02||||||343000|0|09/30/2019|6980.5|166.67
H8AZ02136|HEINZ, MATTHEW GERALD|O|1|DEM|0|0|500|0|500|0|0|0|0|0|0|311547.56|0|AZ|02||||||0|0|09/30/2019|0|0
H8AZ02235|YUKSEL, YAHYA|O|1|DEM|0|0|478.56|0|-1680.27|-2158.83|0|0|0|0|0|0|0|AZ|02||||||0|0|02/05/2019|0|0
H0AZ02174|WADSACK, JUSTINE LOUISE|C|2|REP|14617.27|0|12650.14|0|0|1967.13|0|5256.41|0|0|0|5256.41|8784|AZ|02||||||0|0|09/30/2019|0|0
H0AZ02182|MORGAN, JOSEPH DAVID|C|2|REP|19542|0|13999.9|0|0|5541.6|354.54|0|0|0|0|0|19187.46|AZ|02||||||0|0|09/30/2019|0|0
H0AZ02190|MARTIN, BRANDON RAY|C|2|REP|49128.51|0|35229.19|0|0|13899.32|0|0|0|0|0|0|49128.51|AZ|02||||||0|0|09/30/2019|200|0
H0AZ02224|LIGON, MIKE|C|2|REP|50500|0|50500|0|0|0|6887.88|43112.12|0|43112.12|0|0|500|AZ|02||||||0|0|08/01/2019|500|0
H0AZ02232|STAUTZ, SHAY|C|2|REP|116525|0|26106.29|0|0|90418.71|0|60000|0|0|0|60000|56525|AZ|02||||||0|0|09/30/2019|0|0
H2AZ08102|MCSALLY, MARTHA|I|2|REP|0|0|66813.25|1998.43|66813.25|0|0|0|0|0|0|0|0|AZ|02||||||0|0|09/30/2019|-23611.25|0
H8AZ02185|MARQUEZ PETERSON, LEA|O|2|REP|6056.05|0|15270.33|0|9214.28|0|0|0|0|8711.18|0|2601.33|0|AZ|02||||||0|0|06/30/2019|0|5000
H8AZ02201|MARTIN, BRANDON RAY|O|2|REP|49128.51|0|35229.19|0|0|13899.32|0|0|0|0|0|0|49128.51|AZ|02||||||0|0|09/30/2019|200|0
H8AZ02227|MORALES, DANIEL ROMERO JR|O|2|REP|0|0|79.3|0|79.3|0|0|0|0|0|0|0|0|AZ|02||||||0|0|01/31/2019|0|0
H2AZ07070|GRIJALVA, RAUL M|I|1|DEM|310202.4|16026.11|168059.83|0|38155.74|180298.31|0|0|0|0|0|4015.59|189570.7|AZ|03||||||103699.1|0|09/30/2019|2828.6|0
H6AZ03179|SAN MIGUEL, EDNA|C|2|REP|0|0|0|0|2583.43|2583.43|0|0|0|0|0|0|0|AZ|03||||||0|0|09/30/2019|0|0
H8AZ03142|ARELLANO, SERGIO|C|2|REP|0|0|0|0|0|0|0|0|0|0|0|0|0|AZ|03||||||0|0|02/01/2019|0|0
H8AZ04140|BRILL, DAVID H|C|1|DEM|0|0|0|0|0|0|0|0|0|0|0|0|0|AZ|04||||||0|0|07/31/2019|0|0
H8AZ04165|DISANTO, DELINA|C|1|DEM|2600|0|5202.42|0|0|5961.77|0|0|0|0|0|32854.93|2600|AZ|04||||||0|0|09/30/2019|0|0
H0AZ01259|GOSAR, PAUL DR.|I|2|REP|205690.45|19520.43|125319.57|0|121199.58|201570.46|0|0|0|0|0|0|103283.89|AZ|04||||||82866.93|0|09/30/2019|11000|0
H0AZ04527|ROBINSON, EMILY|C|2|REP|207.24|0|207.24|0|0|0|0|207.24|0|0|0|207.24|0|AZ|04||||||0|0|09/30/2019|0|0
H2AZ04135|GOULD, RON|C|2|REP|0|0|0|0|4473.28|4473.28|0|0|0|0|0|141741.2|0|AZ|04||||||0|0|09/30/2019|0|0
H8AZ05154|GREENE, JOAN|C|1|DEM|21451.54|0|19345.33|0|1837.41|2943.62|0|8944.79|0|1500|0|153969.79|12506.75|AZ|05||||||0|0|09/30/2019|0|0
H2AZ06148|ADAMS, KIRK DAVID|O|2|REP|0|0|560.22|0|560.22|0|0|0|0|560.22|0|0|0|AZ|05||||||0|0|07/15/2019|0|0
H6AZ05083|BIGGS, ANDY MR.|I|2|REP|390304.08|19520.43|204183.27|0|285245.51|471366.32|0|0|0|31000|0|100000|226103.65|AZ|05||||||144680|0|09/30/2019|2500|1000
H6AZ05091|OLSON, JUSTIN|O|2|REP|0|0|0|0|703.23|703.23|0|0|0|0|0|100000|0|AZ|05||||||0|0|09/30/2019|0|0
H6AZ05125|JONES, CHRISTINE|O|2|REP|247225.35|0|250000|0|2774.65|0|247225.35|0|0|250000|0|0|0|AZ|05||||||0|0|03/31/2019|0|0
H0AZ06068|RIMMER, STEPHANIE S|C|1|DEM|142824|0|56052.13|0|0|86771.87|15|100000|0|0|0|100000|42809|AZ|06||||||0|0|09/30/2019|0|0
H8AZ06103|MALIK, ANITA|C|1|DEM|98543.29|0|63352.57|0|6195.48|41386.2|0|0|0|0|0|0|97598.29|AZ|06||||||0|0|09/30/2019|10|0
H8AZ08083|TIPIRNENI, HIRAL VYAS|C|1|DEM|773040.26|0|270145.75|0|100601.74|603496.25|5700|0|0|0|0|70000|711278.69|AZ|06||||||56001|0|09/30/2019|4528.5|0
H0AZ01184|FLAKE, JEFF MR.|C|2|REP|3924.35|0|20796.47|0|1121967.48|1105095.36|0|0|0|0|0|0|0|AZ|06||||||3261.11|0|09/30/2019|0|0
H4AZ06045|SCHWEIKERT, DAVID S.|I|2|REP|621904.61|145344.53|522308.77|0|44232.49|143828.33|0|0|0|0|0|186740.88|308201.33|AZ|06||||||168358.75|0|09/30/2019|906.6|0
H2AZ02055|PASTOR, ED L|C|1|DEM|0|0|1480.47|0|97406.64|97406.64|0|0|0|0|0|0|0|AZ|07||||||0|0|09/30/2019|0|0
H4AZ07043|GALLEGO, RUBEN|I|1|DEM|790711.4|0|494721.99|0|459177.86|755167.27|0|0|0|0|0|0|413258.41|AZ|07||||||375250|0|09/30/2019|5600|0
H8AZ07044|MIRANDA, CATHERINE|C|1|DEM|0|0|0|0|2518.7|2518.7|0|0|0|0|0|3542.31|0|AZ|07||||||0|0|09/30/2019|0|0
H0AZ07082|BARNETT, JOSH|C|2|REP|3635|0|3000.36|0|0|634.64|0|2650|0|0|0|0|985|AZ|07||||||0|0|09/30/2019|0|0
H0AZ08072|MUSCATO, MICHAEL ARCHANGEL|C|1|DEM|76269.36|0|54096.42|0|0|22172.94|12535.36|36000|0|0|0|36000|27734|AZ|08||||||0|0|09/30/2019|0|0
H0AZ08080|OLSEN, ROBERT|C|1|DEM|400|0|958|0|0|-558|0|0|0|0|0|0|400|AZ|08||||||0|0|09/30/2019|0|0
H8AZ08232|MUSSELWHITE, ROBERT RICHARD|C|1|DEM|2488.8|1444.4|2770.78|0|407|237.95|0|0|0|0|0|0|2488.8|AZ|08||||||0|0|09/30/2019|0|0
H6AZ03112|STUMP, BOB|O|2|REP|0|0|0|0|13484.68|13484.68|0|0|0|0|0|0|0|AZ|08||||||0|0|09/30/2019|0|0
H8AZ08158|LESKO, DEBBIE|I|2|REP|477570.35|108298.06|230941.88|0|70840.67|317469.14|0|0|0|0|0|0|216611.49|AZ|08||||||133200|0|09/30/2019|0|0
H2AZ09019|SINEMA, KYRSTEN|I|1|DEM|1580448.66|31751.78|549555.79|0|171526.59|1202419.46|0|0|0|0|0|0|916482.42|AZ|09||||||486703.69|15500|09/30/2019|20379.5|0
H2AZ09027|SCHAPIRA, DAVID|C|1|DEM|0|0|0|0|0|0|0|0|0|0|0|1464.07|0|AZ|09||||||0|0|09/30/2019|0|0
H8AZ09040|STANTON, GREG|I|1|DEM|610541.97|0|194473.23|0|44385.39|460454.13|0|0|0|0|0|0|406391.41|AZ|09||||||193400|390.55|09/30/2019|666|0
H8AZ09065|ARAUJO, HECTOR MR.|O|1|DEM|0|0|0|0|0|0|0|0|0|0|0|0|0|AZ|09||||||0|0|03/31/2019|0|0
H0AZ03321|PARKER, VERNON|C|2|REP|0|0|0|0|4619.9|4619.9|0|0|0|0|0|15813.62|0|AZ|09||||||0|0|09/30/2019|0|0
H2AZ06155|GRANTHAM, TRAVIS W.|O|2|REP|0|0|135|0|-6271.01|-6406.01|0|0|0|0|0|304411.5|0|AZ|09||||||0|0|09/30/2019|0|0
H4AZ09023|WALTER, ANDREW|C|2|REP|0|0|0|0|0|2000|0|0|0|0|0|0|0|AZ|09||||||0|0|07/01/2019|0|0
H6AZ09010|GILES, DAVID VICTOR|C|2|REP|25062.8|0|25000.9|0|0|61.9|0|20264.27|0|0|0|436334.96|4798.53|AZ|09||||||0|0|09/30/2019|0|0
H6AZ09036|AGRA, JOHN|C|2|REP|0|0|0|0|0|0|0|0|0|0|0|0|0|AZ|09||||||0|0|06/30/2019|0|0
H8AZ09032|LEIBSOHN, SETH MR.|O|2|REP|.82|0|960|0|11211.8|10252.62|0|0|0|0|0|0|0|AZ|09||||||0|0|09/30/2019|0|0
H8AZ09016|BARONESS VON BEHR, IRINA|C|3|IND|0|0|0|0|52.31|52.31|0|0|0|0|0|19623.99|0|AZ|09||||||0|0|09/30/2019|0|0
H8CA01257|DENNEY, AUDREY L|C|1|DEM|599383.96|0|220449.77|0|492.49|379426.68|0|0|0|0|0|0|585691.24|CA|01||||||7950|500|09/30/2019|3110|0
H2CA01169|SAGOO, GURPINDER SINGH||2|REP|4000|0|0|0|30000000|30004000|0|0|0|0|0|0|4000|CA|01||||||0|0|09/30/2019|0|0
H2CA02142|LAMALFA, DOUG|I|2|REP|444555.54|108298.03|130283.95|0|28130.95|342402.54|0|0|0|0|0|1528.86|177558.55|CA|01||||||157209.52|0|09/30/2019|0|0
H2CA06259|HUFFMAN, JARED|I|1|DEM|347021.69|0|339817.4|0|820776.44|827980.73|0|0|0|0|0|1100|229361.16|CA|02||||||112700|0|09/30/2019|625|5000
H4CA02098|MENSING, DALE KENNETH|C|2|REP|0|0|118|0|1637|1519.68|0|0|0|0|0|0|0|CA|02||||||0|0|09/30/2019|0|0
H0CA10149|GARAMENDI, JOHN|I|1|DEM|415466.95|0|255497.97|0|724376.4|884345.38|0|0|0|0|0|0|137313.77|CA|03||||||242774|0|09/30/2019|20|0
H0CA03128|HAMILTON, TAMIKA|C|2|REP|14853.76|0|9847.09|0|0|5006.67|0|100|0|0|0|100|14253.76|CA|03||||||500|0|09/30/2019|0|0
H0CA03136|VAN DYKE, GREGORY|C|2|REP|0|0|0|0|0|0|0|0|0|0|0|0|0|CA|03||||||0|0|09/30/2019|0|0
H0CA03144|FEUCHT, J.C. SEAN|C|2|REP|42873|0|5258.9|0|0|37614.1|0|0|0|0|0|0|42873|CA|03||||||0|0|09/30/2019|0|0
H4CA03096|LOGUE, DANIEL|C|2|REP|0|0|0|0|0|0|0|0|0|0|0|8645.6|0|CA|03||||||0|0|09/30/2019|0|0
H6CA03067|SCHAUPP, CHARLES EUGENE|C|2|REP|389.28|0|0|0|6752.56|6752.56|0|0|0|0|0|0|0|CA|03||||||0|0|09/30/2019|0|0
H0CA04175|KENNEDY, BRYNNE|C|1|DEM|550324.89|0|220366.82|0|0|329958.07|7200|0|0|0|0|0|540255.95|CA|04||||||2600|0|09/30/2019|4177.5|0
H8CA04210|MORSE, JESSICA|C|1|DEM|192727.93|10024.71|8095.57|0|102177.16|286809.52|0|0|0|0|0|3337.94|0|CA|04||||||0|0|09/30/2019|0|0
H0CA04183|BENZEL, JULIANNE ELIZABETH MRS.|C|2|REP|46463.86|0|25940.43|0|0|11459.59|224.99|3000|0|3000|0|0|43238.87|CA|04||||||0|0|09/30/2019|0|0
H8CA04152|MCCLINTOCK, THOMAS|I|2|REP|723724.27|117690.56|399549.55|0|224826.27|549060.99|0|0|0|0|0|0|561234.42|CA|04||||||35500|0|09/30/2019|1798.47|0
H8CA01109|THOMPSON, MIKE MR.|I|1|DEM|970812.72|0|969722.14|0|1560786.18|1561876.76|0|0|0|0|0|16798.36|367244.31|CA|05||||||595372.83|0|09/30/2019|4263|0
H0CA05107|GIBLIN, SCOTT|C|2|REP|0|0|593.86|0|0|0|0|0|0|0|0|0|0|CA|05||||||0|0|09/30/2019|0|0
H0CA06162|EMARD, BENJAMIN|C|1|DEM|7296.65|0|1810.4|0|0|5486.25|1011.65|0|0|0|0|0|6285|CA|06||||||0|0|09/30/2019|0|0
H6CA05195|MATSUI, DORIS|I|1|DEM|485248.55|0|303575.95|0|323335.18|505007.78|0|0|0|0|0|0|160412.55|CA|06||||||324800|0|09/30/2019|0|0
H0CA03078|BERA, AMERISH|I|1|DEM|712173.65|0|602495.24|0|1324713.43|1434391.84|0|0|0|0|0|272800|371446.34|CA|07||||||339842.88|70.53|09/30/2019|8220|5000
H0CA07129|BURDICK, JEFF|C|1|DEM|8313.19|0|1957.02|0|0|6356.17|0|7500|0|0|0|8972.25|734|CA|07||||||0|0|09/30/2019|100|0
H0CA07137|PATTERSON, ROBERT BUZZ|C|2|REP|29438.19|0|16658.32|0|0|12779.87|0|2500|0|0|0|26445.4|26938.19|CA|07||||||0|0|09/30/2019|50|0
H0CA11352|EMKEN, ELIZABETH|C|2|REP|0|0|0|0|365.71|365.71|0|0|0|0|0|32000|0|CA|07||||||0|0|09/30/2019|0|0
H4CA07055|BIRMAN, IGOR A|C|2|REP|58|0|58|0|128.82|128.82|0|58|0|0|0|85022.75|0|CA|07||||||0|0|09/30/2019|0|0
H8CA07056|GRANT, ANDREW|C|2|REP|201.41|0|6702.92|0|16172.85|9671.34|0|0|0|0|0|100|0|CA|07||||||0|0|09/30/2019|0|0
H0CA08101|BUBSER, CHRISTINE|O|1|DEM|356708.49|0|129058.42|0|0|227650.07|3459.69|0|0|0|0|0|349848.5|CA|08||||||3000|0|09/30/2019|0|0
H8CA08112|DOYLE, MARGE|C|1|DEM|10|0|14062.4|0|34597.45|20455.05|0|0|0|0|0|1420.96|10|CA|08||||||0|0|09/30/2019|0|0
H0CA08127|STAAT, JEREMY|O|2|REP|19481|0|2950.26|0|0|16530.74|0|0|0|0|0|3160|19481|CA|08||||||0|0|09/30/2019|0|0
H0CA08135|OBERNOLTE, JAY|O|2|REP|103100|0|46.4|0|0|103053.6|0|100000|0|0|0|100000|3100|CA|08||||||0|0|09/30/2019|0|0
H2CA08164|COOK, PAUL|I|2|REP|343389.89|0|125560.41|0|140257.11|358086.59|0|0|0|0|0|0|147889.89|CA|08||||||195500|0|09/30/2019|4900|5000
H4CA08111|CONOVER, RODNEY LEE|C|2|REP|0|0|0|0|0|0|0|0|0|0|0|5750|0|CA|08||||||0|0|09/30/2019|0|0
H8CA08120|DONNELLY, TIMOTHY M.|O|2|REP|2185.3|0|2924.8|0|826.91|87.41|405.6|0|0|0|0|30000|1649.7|CA|08||||||0|0|09/30/2019|0|0
H4CA11081|MCNERNEY, GERALD MARK|I|1|DEM|442456.23|0|248563.53|0|168757.82|362650.52|0|0|0|0|0|7889.43|288416.44|CA|09||||||149200|0|09/30/2019|0|0
H8CA09144|LIVENGOOD, MARLA|C|2|REP|1000|0|4750|0|3750|0|0|0|0|0|0|0|1000|CA|09||||||0|0|09/30/2019|0|0
H2CA00096|BARKLEY, MICHAEL JAMES MR.|C|1|DEM|0|0|0|0|2819.86|2819.86|0|0|0|0|0|46147.31|0|CA|10||||||0|0|09/30/2019|0|0
H4CA10075|EGGMAN, MICHAEL RAY|C|1|DEM|12.61|0|4298.39|0|4285.78|0|0|0|0|0|0|0|0|CA|10||||||0|0|01/29/2019|0|0
H8CA10126|HARDER, JOSH|I|1|DEM|2405993.95|58512.01|425216.78|0|20240.66|2001017.83|0|0|0|0|0|0|1960302.39|CA|10||||||371746.89|0|09/30/2019|25720.89|6000
H8CA10175|MADUENO, VIRGINIA|C|1|DEM|0|0|0|0|0|0|0|0|0|0|0|0|0|CA|10||||||0|0|01/17/2019|0|0
H0CA10248|DOSSETT, CHARLES|C|2|REP|17362.98|0|4083.6|0|125|13404.38|0|0|0|0|0|0|17362.98|CA|10||||||0|0|06/30/2019|0|0
H0CA10263|SOUSA LIVENGOOD, MARLA|C|2|REP|106727.95|0|25748.77|0|0|80979.18|0|0|0|0|0|0|101127.95|CA|10||||||5600|0|09/30/2019|0|0
